Fe,Mn,Ni,Co,Cr,V,Al,D1,D2,D10,D16,D19,D21,class
0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,-0.905714286,-0.235714286,24.95714286,212.5714286,9.224081633,0.018053061,2
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,0.309953679,25.28154144,196.6484077,5.592469023,0.008799356,2
0.182712435,0.006847017,0.510895452,0.071239608,0.161000775,0.038694778,0.028609935,-0.243460272,0.592230465,25.2744507,209.6441073,7.494017732,0.011568831,2
0.035201282,0.015630241,0.72472103,0.141415938,0.030501083,0.008102075,0.044428351,1.100699989,2.067335825,25.70454466,168.0854549,3.678665719,0.007628942,2
0.227772892,0.014223766,0.531015073,0.100751057,0.063309817,0.0124716,0.050455796,-0.671742775,1.019289745,25.45599607,193.0851723,6.754084123,0.009168268,2
0.085646457,0.014145748,0.427234286,0.330437288,0.075738034,0.034579185,0.032219001,-0.27568365,0.726304823,25.2728366,187.6729655,5.552094741,0.009406383,1
0.575419142,0.039981163,0.238784553,0.051484033,0.028441536,0.030001878,0.035887695,-4.035375246,-0.650371199,25.28182267,226.581065,6.184354634,0.008482417,2
0.432579555,0.008088662,0.368856606,0.066830208,0.052774487,0.042640421,0.028230061,-2.577411882,-0.08475629,25.32958472,216.344656,7.063266325,0.00771178,2
0.469955181,0.025624175,0.239586514,0.152835294,0.047606917,0.039406701,0.024985218,-3.382388214,-0.588322104,25.20842445,221.5462114,5.686593524,0.008082394,2
0.117748226,0.022803838,0.334115989,0.404400035,0.062361731,0.032364649,0.026205533,-0.92686659,0.357742445,25.19785156,190.457014,5.040944142,0.008988191,1
0.246177103,0.021847528,0.169421006,0.436356272,0.10722257,0.01520065,0.003774871,-2.367190352,-0.609391035,24.96529302,212.3589599,3.551895959,0.007726289,0
0.176802946,0.012324461,0.368017854,0.134126388,0.253783267,0.032606163,0.022338921,-0.580231007,-0.117452403,24.95913315,226.8976955,7.11580456,0.01289783,1
0.312327118,0.016109903,0.432720803,0.065662209,0.11014232,0.045334023,0.017703625,-1.506409853,0.131046896,25.30909778,215.956506,7.173957232,0.01004701,2
0.063647848,0.008950792,0.580374668,0.18648233,0.092532262,0.040427541,0.02758456,0.528495972,1.191523465,25.43570124,187.0656207,5.865615954,0.00996288,2
0.205905343,0.025616751,0.495901013,0.149217775,0.04680422,0.031296743,0.045258155,-0.727441241,0.887229627,25.4506365,191.5990038,6.563669083,0.010100928,2
0.198630537,0.024444016,0.062086113,0.587494347,0.083540565,0.028029721,0.015774702,-2.515984216,-0.792319388,24.84499444,205.7319326,2.516142645,0.008063705,0
0.091894783,0.028610741,0.165163169,0.546975884,0.107206842,0.03215447,0.027994112,-1.34152299,-0.257005537,24.91080538,198.0590973,4.009599511,0.010403924,0
0.052117034,0.015029174,0.068070104,0.724747285,0.076483833,0.032077726,0.031474844,-1.570618985,-0.404458882,24.79626712,189.7444096,2.774872937,0.008318745,0
0.050528742,0.013527299,0.244752895,0.461381073,0.193616035,0.028056661,0.008137295,-0.615392964,-0.223181313,24.86112757,208.4862876,4.507466997,0.01088991,0
0.048492714,0.015519237,0.543224396,0.282199039,0.041601644,0.010390484,0.058572487,0.382771552,1.490475849,25.44751147,172.4288777,4.850709091,0.008879078,2
0.112913522,0.002697177,0.68612548,0.040955763,0.077557373,0.056820954,0.022929732,0.661659921,1.415411271,25.60547114,189.0465583,6.318629806,0.009622114,2
0.693824838,0.030036667,0.130880216,0.095937894,0.02798149,0.013657233,0.007681661,-5.332038442,-1.332665835,25.17813122,239.4712043,3.471501629,0.005153712,0
0.520309319,0.027837701,0.135176451,0.158611283,0.130221279,0.013127992,0.014715975,-3.98170268,-1.207308558,24.97073003,240.0810863,3.999749105,0.008154178,0
0.092253993,0.016022745,0.345046883,0.312503368,0.196504812,0.02911092,0.008557278,-0.432414881,0.025104304,25.00329077,211.4486964,5.627631691,0.011497732,1
0.15485776,0.01705369,0.610339408,0.127642221,0.045249991,0.030097926,0.014759003,-0.107820354,1.191633784,25.5917585,187.7142933,5.674755144,0.007667678,2
0.154710106,0.015237893,0.485335837,0.227474204,0.050419595,0.021136965,0.045685401,-0.478036997,0.975698904,25.39927952,186.355284,5.975568235,0.008850372,2
0.412464126,0.020086411,0.156049874,0.340392144,0.023760486,0.033868926,0.013378032,-3.528475889,-0.752337551,25.11645304,214.0480947,3.899573827,0.006010928,2
0.303680105,0.025902752,0.340058815,0.130894077,0.149316444,0.035622643,0.014525164,-1.774524153,-0.250293882,25.14290712,222.9594041,6.436805241,0.010892783,1
0.052693524,0.017162377,0.503376074,0.137521252,0.251326436,0.026218519,0.011701818,0.613916298,0.516507648,25.11455163,214.3053767,6.958438349,0.013722095,2
0.340046755,0.018559403,0.43624303,0.11325525,0.02374892,0.036845925,0.031300718,-1.86046001,0.40666124,25.44624985,202.0657274,6.808127202,0.007913802,2
0.220441161,0.001317009,0.437418658,0.047598981,0.227126863,0.052231741,0.013865587,-0.603722646,-0.005572086,25.09296564,227.3696829,7.670602851,0.01211794,2
0.028030413,0.01230379,0.366399224,0.438949343,0.077466018,0.04315286,0.033698352,-0.158223863,0.607907432,25.17108105,184.1809769,5.094577692,0.009656834,1
0.05388773,0.027809157,0.277264454,0.546783884,0.057516959,0.03053172,0.006206095,-0.913191375,0.180884577,25.13137792,186.8576971,3.709884376,0.007906097,0
0.344993785,0.035595485,0.163084375,0.280917172,0.145661639,0.021271836,0.008475708,-2.827967703,-0.901002321,24.94745035,228.362679,4.067115267,0.009818221,0
0.357797874,0.011656179,0.066981963,0.447579398,0.08623231,0.014552433,0.015199842,-3.430104284,-1.025405151,24.87488706,218.5351608,2.732831134,0.006258688,0
0.289207985,0.011638103,0.534392664,0.037785592,0.045133345,0.054558721,0.027283591,-1.068475906,0.698611526,25.52031571,201.2957447,7.299274619,0.008952153,2
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-0.714431893,0.067459836,25.00920307,200.8289745,5.166700736,0.011153959,0
0.223744039,0.012219722,0.527494894,0.053627052,0.105110068,0.04387579,0.033928434,-0.540588448,0.720793102,25.39756157,203.9680229,7.441060269,0.010848868,2
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-2.034758559,-0.459267325,24.94585599,205.9539844,3.898758008,0.007833866,0
0.069149225,0.024815925,0.398875393,0.293083875,0.159813354,0.039889343,0.014372885,-0.137392018,0.330696281,25.13215184,203.3330335,5.86640933,0.012139198,1
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-0.660272352,0.308042906,25.10619265,184.3794745,4.038570342,0.008572645,0
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,-0.321144217,0.750211834,25.29806732,183.5559805,5.051060815,0.008683468,2
0.110252919,0.011568327,0.016325549,0.733742307,0.074132839,0.043077504,0.010900555,-2.194398545,-0.829178035,24.75821974,198.0830296,1.606450166,0.007114871,0
0.040132876,0.016908781,0.706307056,0.056379448,0.147251688,0.015780339,0.017239813,1.221408461,1.529753482,25.52595882,191.6058743,5.694784966,0.011197059,2
0.35103238,0.02750127,0.205947377,0.280019279,0.107199938,0.024381211,0.003918546,-2.803718699,-0.708414601,25.0535803,222.2338012,4.345935576,0.008435789,1
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,-1.260891353,-0.033599415,25.12634748,218.2498472,7.03301866,0.011351919,1
0.132225973,0.02782097,0.187775204,0.548079972,0.049553889,0.048195069,0.006348924,-1.711800769,-0.292130419,25.05218633,195.2661363,3.459146881,0.008190006,0
0.028041556,0.028256307,0.101784207,0.67968748,0.131363803,0.015144609,0.015722038,-1.266056171,-0.430414852,24.77815193,197.0201588,2.684149804,0.009699963,0
0.098502848,0.014780546,0.531657144,0.046045155,0.251058939,0.038021494,0.019933874,0.537354882,0.541907228,25.15812938,218.0148257,7.767944117,0.014222517,2
0.154352652,0.026464834,0.223374159,0.346669612,0.215471581,0.016243326,0.017423836,-1.237175265,-0.451194414,24.84435211,220.3562144,4.999504251,0.011837878,0
0.513389504,0.003501605,0.245712093,0.143245018,0.029368299,0.039071999,0.025711481,-3.635422181,-0.584534236,25.22312284,221.0909583,5.805804544,0.005806861,2
0.115765815,0.01510676,0.52674916,0.221256305,0.051389449,0.065140244,0.004592268,-0.167761716,0.80345752,25.46883828,190.35749,5.744087704,0.008735385,2
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-2.016348865,-0.54618846,24.97548889,228.5401629,6.170518553,0.010970582,1
0.500927338,0.012087996,0.168143498,0.161534379,0.127428539,0.021277737,0.008600512,-3.735140148,-1.108202918,24.9928214,237.9558956,4.285613724,0.007284262,0
0.045295748,0.012569225,0.240692884,0.477017966,0.182878592,0.035433711,0.006111874,-0.623300055,-0.235275897,24.87090167,207.0840405,4.386018425,0.010716757,0
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,0.309953679,25.28154144,196.6484077,5.592469023,0.008799356,1
0.347520188,0.028493586,0.065361029,0.390307515,0.138821877,0.021260815,0.00823499,-3.258949454,-1.210805122,24.82091805,228.4882843,2.559557272,0.008722589,0
0.149949122,0.022680445,0.274299451,0.410165549,0.080462946,0.048883453,0.013559034,-1.32607218,-0.068320226,25.1116532,199.8442244,4.796779354,0.009402672,0
