Fe,Mn,Ni,Co,Cr,V,Al,D1,D10,D16,D21,SFE
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,25.28154144,196.6484077,0.008799356,26.63179136
0.035201282,0.015630241,0.72472103,0.141415938,0.030501083,0.008102075,0.044428351,1.100699989,25.70454466,168.0854549,0.007628942,134.4017734
0.227772892,0.014223766,0.531015073,0.100751057,0.063309817,0.0124716,0.050455796,-0.671742775,25.45599607,193.0851723,0.009168268,70.89705653
0.085646457,0.014145748,0.427234286,0.330437288,0.075738034,0.034579185,0.032219001,-0.27568365,25.2728366,187.6729655,0.009406383,14.21169229
0.575419142,0.039981163,0.238784553,0.051484033,0.028441536,0.030001878,0.035887695,-4.035375246,25.28182267,226.581065,0.008482417,94.06671497
0.432579555,0.008088662,0.368856606,0.066830208,0.052774487,0.042640421,0.028230061,-2.577411882,25.32958472,216.344656,0.00771178,86.21437169
0.469955181,0.025624175,0.239586514,0.152835294,0.047606917,0.039406701,0.024985218,-3.382388214,25.20842445,221.5462114,0.008082394,58.58994087
0.117748226,0.022803838,0.334115989,0.404400035,0.062361731,0.032364649,0.026205533,-0.92686659,25.19785156,190.457014,0.008988191,-11.79869057
0.246177103,0.021847528,0.169421006,0.436356272,0.10722257,0.01520065,0.003774871,-2.367190352,24.96529302,212.3589599,0.007726289,-63.85173721
0.176802946,0.012324461,0.368017854,0.134126388,0.253783267,0.032606163,0.022338921,-0.580231007,24.95913315,226.8976955,0.01289783,0.516495352
0.155801306,0.013864742,0.429266688,0.182158175,0.134735198,0.044619621,0.039554272,-0.439920625,25.2042108,203.7977227,0.011881828,29.80339552
0.205905343,0.025616751,0.495901013,0.149217775,0.04680422,0.031296743,0.045258155,-0.727441241,25.4506365,191.5990038,0.010100928,61.94716061
0.052117034,0.015029174,0.068070104,0.724747285,0.076483833,0.032077726,0.031474844,-1.570618985,24.79626712,189.7444096,0.008318745,-129.640332
