Fe,Mn,Ni,Co,Cr,V,Al,D1,D2,D8,D10,D15,D16,D19,D21,SFE
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,0.309953679,737.5726312,25.28154144,201.2186388,196.6484077,5.592469023,0.008799356,26.63179136
0.035201282,0.015630241,0.72472103,0.141415938,0.030501083,0.008102075,0.044428351,1.100699989,2.067335825,730.6222703,25.70454466,253.0492287,168.0854549,3.678665719,0.007628942,134.4017734
0.227772892,0.014223766,0.531015073,0.100751057,0.063309817,0.0124716,0.050455796,-0.671742775,1.019289745,730.492817,25.45599607,188.7018405,193.0851723,6.754084123,0.009168268,70.89705653
0.085646457,0.014145748,0.427234286,0.330437288,0.075738034,0.034579185,0.032219001,-0.27568365,0.726304823,732.1945022,25.2728366,226.0803039,187.6729655,5.552094741,0.009406383,14.21169229
0.575419142,0.039981163,0.238784553,0.051484033,0.028441536,0.030001878,0.035887695,-4.035375246,-0.650371199,741.4149818,25.28182267,99.80656962,226.581065,6.184354634,0.008482417,94.06671497
0.432579555,0.008088662,0.368856606,0.066830208,0.052774487,0.042640421,0.028230061,-2.577411882,-0.08475629,736.8597752,25.32958472,128.730466,216.344656,7.063266325,0.00771178,86.21437169
0.469955181,0.025624175,0.239586514,0.152835294,0.047606917,0.039406701,0.024985218,-3.382388214,-0.588322104,740.6975645,25.20842445,124.0146658,221.5462114,5.686593524,0.008082394,58.58994087
0.117748226,0.022803838,0.334115989,0.404400035,0.062361731,0.032364649,0.026205533,-0.92686659,0.357742445,736.8387162,25.19785156,223.7574846,190.457014,5.040944142,0.008988191,-11.79869057
0.246177103,0.021847528,0.169421006,0.436356272,0.10722257,0.01520065,0.003774871,-2.367190352,-0.609391035,742.1465127,24.96529302,185.9901456,212.3589599,3.551895959,0.007726289,-63.85173721
0.176802946,0.012324461,0.368017854,0.134126388,0.253783267,0.032606163,0.022338921,-0.580231007,-0.117452403,716.7274212,24.95913315,158.8673733,226.8976955,7.11580456,0.01289783,0.516495352
0.155801306,0.013864742,0.429266688,0.182158175,0.134735198,0.044619621,0.039554272,-0.439920625,0.475986467,723.52334,25.2042108,187.0160771,203.7977227,7.016817208,0.011881828,29.80339552
0.205905343,0.025616751,0.495901013,0.149217775,0.04680422,0.031296743,0.045258155,-0.727441241,0.887229627,731.4376621,25.4506365,196.6753512,191.5990038,6.563669083,0.010100928,61.94716061
0.052117034,0.015029174,0.068070104,0.724747285,0.076483833,0.032077726,0.031474844,-1.570618985,-0.404458882,740.7843829,24.79626712,241.2940221,189.7444096,2.774872937,0.008318745,-129.640332
0.048492714,0.015519237,0.543224396,0.282199039,0.041601644,0.010390484,0.058572487,0.382771552,1.490475849,730.8529846,25.44751147,245.5619669,172.4288777,4.850709091,0.008879078,67.515626
0.112913522,0.002697177,0.68612548,0.040955763,0.077557373,0.056820954,0.022929732,0.661659921,1.415411271,725.7809864,25.60547114,208.8263772,189.0465583,6.318629806,0.009622114,94.63970199
0.693824838,0.030036667,0.130880216,0.095937894,0.02798149,0.013657233,0.007681661,-5.332038442,-1.332665835,751.6044898,25.17813122,75.20930629,239.4712043,3.471501629,0.005153712,-224.2638935
0.24737736,0.015952118,0.244113741,0.220761223,0.212306795,0.037958976,0.021529787,-1.612339421,-0.579463568,723.6268196,24.88790708,149.007142,228.7510198,5.837103373,0.011562765,-32.86201639
0.520309319,0.027837701,0.135176451,0.158611283,0.130221279,0.013127992,0.014715975,-3.98170268,-1.207308558,739.0153789,24.97073003,99.65931928,240.0810863,3.999749105,0.008154178,-93.25162075
0.092253993,0.016022745,0.345046883,0.312503368,0.196504812,0.02911092,0.008557278,-0.432414881,0.025104304,725.9865215,25.00329077,201.7892279,211.4486964,5.627631691,0.011497732,-16.97978455
0.15485776,0.01705369,0.610339408,0.127642221,0.045249991,0.030097926,0.014759003,-0.107820354,1.191633784,734.9097604,25.5917585,215.5980922,187.7142933,5.674755144,0.007667678,81.83223148
0.154710106,0.015237893,0.485335837,0.227474204,0.050419595,0.021136965,0.045685401,-0.478036997,0.975698904,732.6693491,25.39927952,212.5052901,186.355284,5.975568235,0.008850372,54.0141149
0.069191842,0.021852751,0.059650311,0.641933684,0.183159224,0.022760602,0.001451586,-1.57022331,-0.874195767,735.7661995,24.65774836,219.1420264,211.6322915,2.03183028,0.009946181,-172.5497969
0.303680105,0.025902752,0.340058815,0.130894077,0.149316444,0.035622643,0.014525164,-1.774524153,-0.250293882,729.3890996,25.14290712,149.5919922,222.9594041,6.436805241,0.010892783,19.36857551
0.052693524,0.017162377,0.503376074,0.137521252,0.251326436,0.026218519,0.011701818,0.613916298,0.516507648,716.0135132,25.11455163,198.2605274,214.3053767,6.958438349,0.013722095,34.90378712
0.061873722,0.016570123,0.658981158,0.066212987,0.152966102,0.016374254,0.027021655,0.966739093,1.37563209,721.2824041,25.45606809,217.3001279,194.2079245,6.205306249,0.01180432,91.55687041
0.340046755,0.018559403,0.43624303,0.11325525,0.02374892,0.036845925,0.031300718,-1.86046001,0.40666124,737.8371863,25.44624985,164.1283963,202.0657274,6.808127202,0.007913802,74.64164783
0.220441161,0.001317009,0.437418658,0.047598981,0.227126863,0.052231741,0.013865587,-0.603722646,-0.005572086,717.9427793,25.09296564,146.8268397,227.3696829,7.670602851,0.01211794,21.46683784
0.028030413,0.01230379,0.366399224,0.438949343,0.077466018,0.04315286,0.033698352,-0.158223863,0.607907432,732.1752049,25.17108105,240.5594704,184.1809769,5.094577692,0.009656834,-7.31970744
0.357797874,0.011656179,0.066981963,0.447579398,0.08623231,0.014552433,0.015199842,-3.430104284,-1.025405151,745.4447986,24.87488706,156.739441,218.5351608,2.732831134,0.006258688,-26.89003898
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,-3.014341663,-0.407826313,736.5952259,25.25932986,118.7457079,222.8266596,6.617121863,0.008825324,107.3531
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-0.714431893,0.067459836,729.9214253,25.00920307,216.1902413,200.8289745,5.166700736,0.011153959,-25.47169
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,-0.619250779,0.565164662,726.9309094,25.30243054,193.3774143,199.442305,6.773423726,0.011962435,39.9666
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-2.034758559,-0.459267325,740.0727271,24.94585599,195.6859578,205.9539844,3.898758008,0.007833866,-70.37501
0.069149225,0.024815925,0.398875393,0.293083875,0.159813354,0.039889343,0.014372885,-0.137392018,0.330696281,726.0052311,25.13215184,213.7510778,203.3330335,5.86640933,0.012139198,16.77727
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-0.660272352,0.308042906,738.941685,25.10619265,251.1754148,184.3794745,4.038570342,0.008572645,-47.94857
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,-0.321144217,0.750211834,735.4821095,25.29806732,237.4120944,183.5559805,5.051060815,0.008683468,21.61942
0.110252919,0.011568327,0.016325549,0.733742307,0.074132839,0.043077504,0.010900555,-2.194398545,-0.829178035,745.0725726,24.75821974,225.9939046,198.0830296,1.606450166,0.007114871,-146.64508
0.35103238,0.02750127,0.205947377,0.280019279,0.107199938,0.024381211,0.003918546,-2.803718699,-0.708414601,740.2428514,25.0535803,152.8900673,222.2338012,4.345935576,0.008435789,4.61517
0.254403093,0.013892386,0.366303723,0.136133243,0.156490018,0.044849546,0.027927992,-1.260891353,-0.033599415,724.958876,25.12634748,155.7279828,218.2498472,7.03301866,0.011351919,17.36993
0.028041556,0.028256307,0.101784207,0.67968748,0.131363803,0.015144609,0.015722038,-1.266056171,-0.430414852,738.2139642,24.77815193,243.3640405,197.0201588,2.684149804,0.009699963,-153.20215
0.296202361,0.014000002,0.178410483,0.398596355,0.059447545,0.029337831,0.024005422,-2.615800979,-0.473841627,742.2679653,25.04115355,174.5112915,207.5550672,4.402645286,0.007207826,1.35555
0.098502848,0.014780546,0.531657144,0.046045155,0.251058939,0.038021494,0.019933874,0.537354882,0.541907228,712.7841079,25.15812938,179.5903698,218.0148257,7.767944117,0.014222517,39.63244
0.154352652,0.026464834,0.223374159,0.346669612,0.215471581,0.016243326,0.017423836,-1.237175265,-0.451194414,726.2502296,24.84435211,183.4552215,220.3562144,4.999504251,0.011837878,-56.7754
0.513389504,0.003501605,0.245712093,0.143245018,0.029368299,0.039071999,0.025711481,-3.635422181,-0.584534236,743.4640011,25.22312284,113.3139282,221.0909583,5.805804544,0.005806861,134.02272
0.313925995,0.017216851,0.258268786,0.168297374,0.179012143,0.037459889,0.025818963,-2.016348865,-0.54618846,726.2315841,24.97548889,136.9205607,228.5401629,6.170518553,0.010970582,-13.90225
0.045295748,0.012569225,0.240692884,0.477017966,0.182878592,0.035433711,0.006111874,-0.623300055,-0.235275897,729.6879415,24.87090167,218.6217963,207.0840405,4.386018425,0.010716757,-77.29146
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,-1.329041122,0.309953679,737.5726312,25.28154144,201.2186388,196.6484077,5.592469023,0.008799356,10.2202
0.149949122,0.022680445,0.274299451,0.410165549,0.080462946,0.048883453,0.013559034,-1.32607218,-0.068320226,736.8637367,25.1116532,208.5667517,199.8442244,4.796779354,0.009402672,-27.37577
